stationNumber,x,y,z
233,-0.41058379284,-11.2630465277,1.4787308627417999
234,-0.40525554229199995,-8.66025474908,1.4843391570281999
235,-1.15175313073,-7.3469190945700005,1.4886113902396
236,2.59327451962,-11.2697223539,1.4746857327609
237,0.344781652949,-9.97016881321,1.4810335646873
238,0.348096590175,-7.359584694920001,1.4859211060069
239,1.8458978372700001,-9.96840768475,1.4769888738624
240,1.09917990347,-8.66770983324,1.4820772662736998
241,-1.17127980004,-15.1573241796,1.4674255664612998
242,1.09686043778,-13.838949585799998,1.4683950032913
243,-0.417139767536,-13.8552428163,1.4708100905599
244,-1.14270080358,-4.76101261013,1.4913852249122899
245,-0.421665584634,-16.450296047,1.4636252281767
246,-1.9247438319,-16.453080044900002,1.4632319152286
247,1.8517942405599999,-7.37001828951,1.4829400438751
248,-0.39273459443299996,-6.06042757479,1.49659958207016
249,1.0766171815299999,-16.4648064877,1.4624208410927
250,4.83314287403,-15.1822537847,1.4597347211386
251,1.10986008941,-3.46839030846,1.49067754801763
252,1.85829663384,-4.77189758289,1.4880889400113002
253,-1.14102234566,-2.17287745987,1.499896784130023
254,0.356899491766,-2.19278921421,1.49341190137135
255,3.33179491813,-15.1767456475,1.4624675641786
256,2.58531226126,-13.875720193400001,1.4685357883988
257,1.83610173743,-15.170771160800001,1.4650569623951
258,-2.63915857829,-2.16252968057,1.5023469492659
259,-1.8910239663,-3.45218412744,1.4944628469997299
260,0.35695604432800004,-4.762920751609999,1.4896760458694
261,-0.394908569781,-3.46575001102,1.49317321340237
262,4.08598637747,-13.878421575099999,1.4645261077769
263,3.34080621698,-12.5722838532,1.4696362430996
264,5.57927836544,-16.4705778729,1.4563596467511
265,4.08011441377,-16.4718293689,1.4592701015559
266,-0.427725242159,-19.060831199299997,1.4553047061743
267,2.57921956318,-16.464806062799997,1.4601307787446
268,6.32598228114,-17.771522980900002,1.4532305325901
269,1.8232877510799999,-17.7620790485,1.4563695990932
270,3.3044734816,-17.775374787,1.4545878269274002
271,4.81441721193,-17.7213404591,1.4524489165905
272,1.070929421,-19.0625809127,1.4522739822337
273,-1.9299330902,-19.0558794893,1.4546522750254
